event,event_importance,event_latitude,event_longitude,event_date,event_document,event_source_name
KILL,1000000,38.8951,-77.0364,20201006000000.0,https://www.cnet.com/news/donald-trump-returns-to-the-white-house-poses-for-photographs-without-mask-will-continue-covid-19-treatment/,cnet.com
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12370756,nzherald.co.nz
ARREST,100,46,2,20201006000000.0,https://www.sierraleonetimes.com/news/266604998/mali-over-100-jihadist-prisoners-released-in-apparent-exchange,sierraleonetimes.com
KILL,8,28,3,20201006000000.0,https://www.africaleader.com/news/266605480/algeria-reports-134-new-covid-19-cases-52270-in-total,africaleader.com
ARREST,56,,,20201006000000.0,https://www.milfordmirror.com/news/article/Police-Norwalk-man-sold-prescription-meds-15622978.php,milfordmirror.com
AFFECT,536,39.828175,-98.5795,20201006000000.0,https://yarmouth.wickedlocal.com/news/20201005/regal-will-close-all-us-theaters-after-new-bond-movie-no-time-to-die-delayed-to-2021/1,wickedlocal.com
KILL,4,38.8951,-77.0364,20201006000000.0,https://www.thespectrum.com/story/news/2020/10/05/utah-continues-covid-19-surge-washington-county-counts-another-death/3625879001/,thespectrum.com
KILL,205,39.828175,-98.5795,20201006000000.0,https://www.mdjonline.com/ap/politics/pence-takes-lead-role-in-campaign-with-trump-travel-stopped/article_00071009-0f90-5776-8cab-2d7d066dd8b1.html,mdjonline.com
KILL,2,,,20201006000000.0,https://www.express.co.uk/life-style/life/1344169/daily-horoscope-october-6-star-sign-astrology-zodiac-today,express.co.uk
AFFECT,536,39.828175,-98.5795,20201006000000.0,https://rochester.wickedlocal.com/news/20201005/regal-will-close-all-us-theaters-after-new-bond-movie-no-time-to-die-delayed-to-2021/1,wickedlocal.com
KILL,19,38.8951,-77.0364,20201006000000.0,https://thehill.com/homenews/administration/519731-trump-removes-mask-upon-arrival-at-white-house,thehill.com
KILL,2,54,-4,20201006000000.0,https://www.burytimes.co.uk/news/national/18772335.papers-say---october-6/,burytimes.co.uk
KILL,205,39.828175,-98.5795,20201006000000.0,https://madison.com/news/national/govt-and-politics/pence-takes-lead-role-in-campaign-with-trump-travel-stopped/article_0f0025f0-9a65-5be5-89b8-8e05412287ad.html,madison.com
KILL,5,37.669,-84.6514,20201006000000.0,https://www.sfgate.com/news/article/As-cases-rise-Beshear-urges-Trump-to-set-a-15623205.php,sfgate.com
KILL,209,39.828175,-98.5795,20201006000000.0,https://www.channelnewsasia.com/news/world/us-vice-presidential-debate-to-include-plexiglass-barrier-13208352,channelnewsasia.com
KILL,209,39.828175,-98.5795,20201006000000.0,https://borneobulletin.com.bn/2020/10/trump-greets-supporters-following-new-details-of-his-illness-2/,borneobulletin.com.bn
AFFECT,536,39.828175,-98.5795,20201006000000.0,https://burlington.wickedlocal.com/news/20201005/regal-will-close-all-us-theaters-after-new-bond-movie-no-time-to-die-delayed-to-2021/1,wickedlocal.com
KILL,6,16.5,-91.75,20201006000000.0,https://www.kold.com/2020/10/05/tropical-storm-delta-forms/,kold.com
KILL,900,,,20201006000000.0,https://patch.com/illinois/homerglen-lockport/cause-death-still-pending-after-mother-baby-found-dead-cops,patch.com
