event,event_latitude,event_longitude,event_document,event_importance,event_date,event_source_name
AFFECT,-44.1833,170.15,['https://www.stuff.co.nz/timaru-herald/news/123038885/doc-staff-warn-big-fire-events-will-increase'],['14'],[20201009050000],['stuff.co.nz']
AFFECT,-42.0,174.0,"['https://www.stuff.co.nz/life-style/well-good/teach-me/122983956/pretty-in-pink-feel-good-purchases-thatll-also-be-doing-good-this-month', 'https://www.nzherald.co.nz/bay-of-plenty-times/news/dramatic-rescue-of-shogun-the-dog-immortalised-in-childrens-book/P4E35C2XNMXTMJZ37GACZDENAA/', 'http://auckland.scoop.co.nz/2020/10/first-time-finalists-combining-music-and-te-reo-maori/', 'https://www.mondaq.com/australia/waste-management/992904/no-plastic-waste-voyage-update']","['45', '02', '101', '20']","[20201009054500, 20201009014500, 20201009001500, 20201009000000]","['stuff.co.nz', 'nzherald.co.nz', 'scoop.co.nz', 'mondaq.com']"
AFFECT,-37.8167,144.967,['https://www.heraldsun.com.au/leader/melbourne-city/it-took-a-pandemic-to-help-the-homeless-but-experts-say-more-in-melbourne-could-join-them-when-its-over/news-story/1ec26640bd1cb61f2db45b605c499902?nk=1379b7ba924c555299373828850c7d7b-1602209899'],['200'],[20201009023000],['heraldsun.com.au']
AFFECT,-36.75,174.583,['https://www.massey.ac.nz/massey/about-massey/news/article.cfm?mnarticle_uuid=7E17FF73-99E2-4646-B108-7ECA6425EBB0'],['348'],[20201009054500],['massey.ac.nz']
AFFECT,-35.2833,149.217,['https://www.theage.com.au/national/victoria/hotel-quarantine-inquiry-the-final-submissions-20201009-p563mt.html'],['6'],[20201009040000],['theage.com.au']
AFFECT,-34.3333,135.75,['https://www.stockjournal.com.au/story/6958976/frosts-bite-growers-close-to-finish-line/'],['300'],[20201009000000],['stockjournal.com.au']
AFFECT,-30.0,26.0,"['https://www.thezimbabwemail.com/economic-analysis/zimbabwean-economy-poised-for-a-rebound/', 'https://www.wsws.org/en/articles/2020/10/09/safr-o09.html']","['310', '2014']","[20201009040000, 20201009021500]","['thezimbabwemail.com', 'wsws.org']"
AFFECT,-28.7167,153.533,['https://www.nbnnews.com.au/2020/10/09/northern-rivers-missing-person-have-you-seen-elizabeth-forman/'],['15'],[20201009053000],['nbnnews.com.au']
AFFECT,-25.0,135.0,"['https://www.newswise.com/coronavirus/potential-covid-19-vaccines-not-affected-by-dominant-g-strain/?article_id=739524', 'https://www.popsugar.com.au/fitness/steph-claire-smith-interview-on-normalising-mental-health-47867339', 'https://www.heraldsun.com.au/motoring/car-advice/mercedesbenz-recall-over-1000-c63-models-for-esp-problem/news-story/1e60419883042cc21b284db6d42f44fe?nk=e6eb802dfc7e1ab0e6b1deab34670fdf-1602209896', 'https://www.miragenews.com/world-mental-health-day-opportunity-for-pharmacists-to-do-more/', 'https://www.news.com.au/lifestyle/real-life/news-life/letusspeak-clergy-abuse-survivor-phil-nagle-no-longer-gagged-under-victorian-laws/news-story/327fd59502b0d9469d038a83b8f91b7b', 'https://www.miragenews.com/a-budget-to-support-and-protect-australia-s-young-people/', 'https://www.cairnspost.com.au/news/national/federal-court-judge-guy-andrew-found-dead-in-brisbane/news-story/08b12df5f5b88492917453380af53706?nk=a4cd754df575d45b3e90f59a5b1b6ad8-1602200810']","['19', '2014', '63', '5', '2013', '39', '75']","[20201009053000, 20201009050000, 20201009023000, 20201009021500, 20201009001500, 20201009000000, 20201009000000]","['newswise.com', 'popsugar.com.au', 'heraldsun.com.au', 'miragenews.com', 'news.com.au', 'miragenews.com', 'cairnspost.com.au']"
AFFECT,-20.1356,28.5689,['https://www.chronicle.co.zw/another-diarrhoea-outbreak-hits-byo/'],['100'],[20201009000000],['chronicle.co.zw']
