event,event_latitude,event_longitude,event_document,event_importance,event_date,event_source_name
AFFECT,-30.0,26.0,"['https://apnews.com/article/virus-outbreak-africa-business-airlines-south-africa-b6c4196ece3070025a7728d4e90606e1', 'https://www.iol.co.za/capeargus/news/improvement-in-social-grants-is-great-news-c431b36b-eef1-4167-bb3b-882385b311f3', 'https://www.news24.com/fin24/companies/retail/pick-n-pay-blames-alcohol-tobacco-and-clothing-sales-ban-for-halving-of-profits-20201007']","['3', '75', '100000000']","[20201007143000, 20201007140000, 20201007134500]","['apnews.com', 'iol.co.za', 'news24.com']"
AFFECT,-29.8255,30.937,['https://www.iol.co.za/mercury/news/no-need-for-panic-says-ethekwini-municipality-over-land-use-furore-0cc32ccb-426a-42be-9fe3-d3dd737fadee'],['19'],[20201007134500],['iol.co.za']
AFFECT,-25.0,135.0,"['https://www.miragenews.com/two-new-breast-cancer-clinics-to-provide-better-access-and-care/', 'https://www.afr.com/work-and-careers/careers/what-employees-really-think-about-working-from-home-20201006-p562j0', 'https://www.socialistparty.org.uk/articles/31436']","['7', '3', '2000000']","[20201007153000, 20201007150000, 20201007143000]","['miragenews.com', 'afr.com', 'socialistparty.org.uk']"
AFFECT,-24.3364,29.7337,['https://www.iol.co.za/news/south-africa/north-west/bankrupt-north-west-municipality-recruits-127-employees-despite-moratorium-f4f51679-0588-4371-8399-ca76dde266e8'],['100'],[20201007144500],['iol.co.za']
AFFECT,-22.0,17.0,['https://www.africa-newsroom.com/press/coronavirus-namibia-european-union-and-world-food-programme-wfp-support-namibias-most-vulnerable-people-affected-by-covid19'],['19'],[20201007141500],['africa-newsroom.com']
AFFECT,-22.0,24.0,['https://allafrica.com/stories/202010070711.html'],['114'],[20201007144500],['allafrica.com']
AFFECT,-10.0,-76.0,"['https://www.freshplaza.com/article/9256701/blueberries-could-generate-about-100-000-jobs-in-peru-at-peak-of-2020-2021-campaign/', 'https://www.freshplaza.com/article/9256701/blueberries-could-generate-about-100-jobs-in-peru-at-peak-of-2020-2021-campaign/']","['2000', '2000']","[20201007150000, 20201007140000]","['freshplaza.com', 'freshplaza.com']"
AFFECT,1.0,38.0,['https://reliefweb.int/job/3676429/education-officer'],['3'],[20201007144500],['reliefweb.int']
AFFECT,1.366667,103.8,['https://www.straitstimes.com/singapore/community/72-year-old-singaporean-woman-with-dementia-missing-for-four-days'],['2'],[20201007143000],['straitstimes.com']
AFFECT,2.0,33.0,"['http://www.angop.ao/angola/en_us/noticias/africa/2020/9/41/Millions-feared-lost-Uganda-mobile-money-hacking,df4fe9da-8f1a-4df3-bfe5-52900e704584.html', 'https://allafrica.com/stories/202010070702.html', 'https://www.africanews.com/2020/10/07/nationwide-analysis-finds-gulu-jinja-kasese-worst-affected-by-hunger-during-lockdown/', 'https://reliefweb.int/report/uganda/nationwide-analysis-finds-gulu-jinja-kasese-worst-affected-hunger-during-lockdown', 'https://www.africa-newsroom.com/press/nationwide-analysis-finds-gulu-jinja-kasese-worst-affected-by-hunger-during-lockdown']","['20000000', '13', '13', '13', '13']","[20201007154500, 20201007151500, 20201007141500, 20201007134500, 20201007133000]","['angop.ao', 'allafrica.com', 'africanews.com', 'reliefweb.int', 'africa-newsroom.com']"
AFFECT,3.16667,101.7,['http://www.thesundaily.my/local/water-supplies-at-238-areas-recover-fully-air-selangor-CJ4487224'],['274'],[20201007154500],['thesundaily.my']
AFFECT,4.0,-72.0,['https://news.trust.org/item/20201007143159-h2kvg'],['445'],[20201007154500],['trust.org']
AFFECT,5.55,-0.216667,['http://www.businessghana.com/site/news/general/223599/Two-jailed-eight-years-for-stealing-Bullion-Van-Cash'],['2'],[20201007153000],['businessghana.com']
AFFECT,8.0,-66.0,['https://www.newstatesman.com/politics/health/2020/10/scars-long-covid'],['2000000'],[20201007151500],['newstatesman.com']
AFFECT,8.0,-2.0,"['https://allafrica.com/stories/202010070722.html', 'https://www.graphic.com.gh/news/general-news/three-institutions-donate-towards-gja-awards.html', 'https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Produce-500-missing-excavators-Minority-to-govt-1079554']","['5', '19', '500']","[20201007151500, 20201007144500, 20201007140000]","['allafrica.com', 'graphic.com.gh', 'ghanaweb.com']"
AFFECT,8.0,30.0,"['http://www.rnanews.com/eac-secretariat-warns-of-a-drier-than-usual-season-between-october-and-december-2020/', 'http://english.ahram.org.eg/NewsContent/2/10/387830/World/Africa/UN-outraged-by-attack-on-food-aid-convoy-in-South-.aspx', 'https://www.humanitarianresponse.info/en/operations/south-sudan/document/press-release-humanitarian-coordinator-condemns-attack-wfp-boat']","['15', '200000', '78']","[20201007150000, 20201007143000, 20201007141500]","['rnanews.com', 'ahram.org.eg', 'humanitarianresponse.info']"
AFFECT,8.0,38.0,['https://theconversation.com/climate-migration-what-the-research-shows-is-very-different-from-the-alarmist-headlines-146905'],['2000000'],[20201007151500],['theconversation.com']
AFFECT,9.0,-80.0,['https://www.billboard.com/articles/business/chart-beat/9461337/forever-no-1-van-halens-jump/'],['70'],[20201007153000],['billboard.com']
AFFECT,10.0,76.5,['https://www.news18.com/news/india/kerala-power-minister-tests-positive-for-covid-19-fourth-cabinet-member-to-contract-virus-2941273.html'],['4'],[20201007134500],['news18.com']
AFFECT,12.9833,77.5833,"['https://www.reuters.com/article/innovationNews/idUSKBN26S25H', 'https://www.reuters.com/article/us-tcs-results/indias-tcs-plans-up-to-2-2-billion-buyback-as-legal-costs-hit-profit-idUSKBN26S25H']","['78', '78']","[20201007154500, 20201007151500]","['reuters.com', 'reuters.com']"
AFFECT,13.0,-2.0,"['https://www.startribune.com/un-says-attack-in-burkina-faso-kills-25-people/572663172/', 'https://www.washingtontimes.com/news/2020/oct/7/un-says-attack-in-burkina-faso-kills-25-people/', 'https://mynorthwest.com/2214123/un-says-attack-in-burkina-faso-kills-25-people/', 'https://www.680news.com/2020/10/07/un-says-attack-in-burkina-faso-kills-25-people/', 'https://www.record-eagle.com/nation_world/un-says-attack-in-burkina-faso-kills-25-people/article_3bc0c812-03dd-5cc6-91c8-fd33382ede99.html', 'https://www.thestar.com/news/world/2020/10/07/un-says-attack-in-burkina-faso-kills-25-people.html']","['25', '25', '25', '25', '25', '25']","[20201007154500, 20201007153000, 20201007151500, 20201007151500, 20201007151500, 20201007151500]","['startribune.com', 'washingtontimes.com', 'mynorthwest.com', '680news.com', 'record-eagle.com', 'thestar.com']"
AFFECT,13.0,122.0,['https://reliefweb.int/job/3676536/community-development-officer-bridge-project'],['100'],[20201007144500],['reliefweb.int']
AFFECT,13.1578,80.3042,['https://www.newindianexpress.com/cities/chennai/2020/oct/07/tiruvottiyur-leads-chennais-15-zones-in-covid-19-fatality-rate-2207146.html'],['68'],[20201007141500],['newindianexpress.com']
AFFECT,13.5,23.5,['https://www.deccanherald.com/international/world-news-politics/lawyers-walk-out-of-sudan-ex-president-omar-al-bashirs-trial-in-protest-898192.html'],['5000000'],[20201007154500],['deccanherald.com']
AFFECT,13.833333,-88.916667,['https://www.hrw.org/news/2020/10/07/interview-lgbt-people-flee-violence-el-salvador-guatemala-honduras'],['3'],[20201007141500],['hrw.org']
AFFECT,14.6042,120.982,"['https://visayandailystar.com/2020/October/07/topstory9.htm', 'https://www.visayandailystar.com/2020/October/07/topstory9.htm']","['6', '6']","[20201007154500, 20201007133000]","['visayandailystar.com', 'visayandailystar.com']"
AFFECT,14.6073,121.071,['https://www.sunstar.com.ph/article/1872708/Baguio/Local-News/DOLE-records-retrenchment-in-Cordillera'],['59'],[20201007151500],['sunstar.com.ph']
AFFECT,14.9167,-23.5167,['https://reliefweb.int/report/mozambique/mozambique-flash-report-9-new-displacement-zambezia-iom-rapid-assessment-09-22'],['131'],[20201007153000],['reliefweb.int']
AFFECT,15.0,100.0,['https://www.thephuketnews.com/tv/thais-split-on-reopening-13-teachers-charged-in-school-abuse-scandal-october-7-2038-Segments.php'],['2'],[20201007143000],['thephuketnews.com']
AFFECT,15.5,-90.25,['https://progressive.org/dispatches/police-violence-not-just-rise-in-united-states-abbott-201007/'],['2000000'],[20201007144500],['progressive.org']
